time obj_dir/Vfhe_alu_top 
ntt_sequence start
load set start
load root start
load data start
load start
bit_rev start
ntt start
a_out 00bcec306b0345ef, b_out 1f4313cf94f9ba13
a_out 00bcec306b0345f1, b_out 1f4313cf94f9ba15
a_out 0c4f630de8ee2257, b_out 13b09cf2170eddad
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 1f4313cf94f9ba11, b_out 20bcec306b0045ef
a_out 0ffffffffffe7ffd, b_out 2ffffffffffb7fff
a_out 0000000000000005, b_out 1ffffffffffd0007
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 1b9276dd7de95c67, b_out 246d89228210a39b
a_out 0c6c1a2872757034, b_out 38016efa0f983368
a_out 2ff6d2ef7cfa5e53, b_out 0b9ba3ee00ebfe15
a_out 3513e0995a813442, b_out 07f86ea4f96bb40a
a_out 28caac166346289e, b_out 1a2904ab48c0ef26
a_out 1dc93b6ebef32e31, b_out 2236c4914106d1cb
a_out 13b09cf2170edda7, b_out 2c4f630de8eb2253
a_out 0f4313cf94fb3a12, b_out 10bcec306b01c5f0
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 2099fb9d57ec46fa, b_out 3af87b4025f7156e
a_out 1954bd2e27fb5684, b_out 0b18cbf45a154d14
a_out 16a000c234499b32, b_out 295fff3dcbb064cc
a_out 1688c67ffa12905d, b_out 2977398005e76fa1
a_out 076139e42e20bb5c, b_out 189ec61bd1dc44b2
a_out 0000000000000001, b_out 1ffffffffffd0003
a_out 00bcec306b0345fc, b_out 1f4313cf94f9ba20
a_out 0d0c4f3e53f16848, b_out 12f3b0c1ac0b97c0
a_out 3b5e5bee5ee6f487, b_out 0a890594f92d3aed
a_out 09677e3eaffd8881, b_out 30b1203df7e24803
a_out 38af4d5bae36ab26, b_out 245d01e2a5b33d22
a_out 3982235aa0d3eee7, b_out 29718d670b3628d5
a_out 0236c4914109d1ce, b_out 1dc93b6ebef32e36
a_out 12f3b0c1ac0b97bb, b_out 2d0c4f3e53ee6845
a_out 0ad58aad12e7967b, b_out 152a7552ed15698d
a_out 1e86279f29f67420, b_out 2179d860d6038bdc
a_out 1f3cfbe23e64c661, b_out 1f492bbceb8eadc7
a_out 3baa45ef31629f67, b_out 05cf9271a49dec7d
a_out 1a1a0d7a177a43e9, b_out 3e84b8a1ba5c00b5
a_out 31830575d9032d85, b_out 35de346e551a8dc1
a_out 0f4313cf94fb3a13, b_out 10bcec306b01c5f1
a_out 0e86279f29f7f425, b_out 1179d860d6050be1
a_out 0000000000000000, b_out 1ffffffffffd0002
a_out 0ffffffffffe7fff, b_out 2ffffffffffb8001
a_out 27f8791899c9d8e9, b_out 3399fdc4e4198381
a_out 2f51b5ce85735b61, b_out 351bd353fc9d4839
a_out 31a31b5464e4673d, b_out 0b6933e9ef088111
a_out 1b95c0aa78fbf021, b_out 275df017330b27a5
a_out 0ffffffffffe7ffd, b_out 2ffffffffffb7fff
a_out 1236c491410851ca, b_out 2dc93b6ebef1ae32
a_out 00bcec306b0345ef, b_out 1f4313cf94f9ba13
a_out 052a7552ed16e98b, b_out 1ad58aad12e6167b
a_out 1f08f81171eff707, b_out 29d21a339231502d
a_out 1011044d30125468, b_out 2713e96dcbc06464
a_out 3d0a8eb62c8b73ad, b_out 28dcd2cd2b8bbbd7
a_out 25dca76db1ea57b3, b_out 343bf70ef5f278e5
a_out 00bcec306b0345f0, b_out 1f4313cf94f9ba14
a_out 0ad58aad12e7967b, b_out 152a7552ed15698d
a_out 1f4313cf94f9ba11, b_out 20bcec306b0045ef
a_out 0c4f630de8ee2258, b_out 13b09cf2170eddae
a_out 14f0b5932236cc95, b_out 2e02fb2e89d04b25
a_out 00cdb950cdd9d32b, b_out 3c3e95ed86131517
a_out 10f3cdfc16a57c16, b_out 2f0c3203e95483ec
a_out 12139d5218238137, b_out 2dec62ade7d67ecb
a_out 0ffffffffffe8000, b_out 2ffffffffffb8002
a_out 12f3b0c1ac0b97bc, b_out 2d0c4f3e53ee6846
a_out 1dc93b6ebef32e31, b_out 2236c4914106d1cb
a_out 0ffffffffffe7ffd, b_out 2ffffffffffb7fff
a_out 1a0bfb854ffd2a86, b_out 3048ef208a2aa88c
a_out 15b135339e3a640b, b_out 1ff9e0268791c8e3
a_out 3ee481629cb6ec22, b_out 040f2f5f0f502b96
a_out 1f1a40777163a2ab, b_out 1df20ec6e2894595
a_out 1f4313cf94f9ba0f, b_out 20bcec306b0045ed
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 0ffffffffffe7ffc, b_out 2ffffffffffb7ffe
a_out 1f4313cf94f9ba10, b_out 20bcec306b0045ee
a_out 3dd0c2598522954d, b_out 022f3da67ad76ab5
a_out 32e50ec73b8d766e, b_out 0d1af138c46c8994
a_out 333e6addfe0059c6, b_out 2fb545e3ae09bdf8
